lab,case,tags,iters,warmup,pin_cpu,unit,min,p50,p95,p99,p999,max,mean,run_dir,summary_path,meta_path,stdout_path,raw_csv_path,raw_llr_path,raw_unit,bench_path,bench_args,started_at
os,fork_exec_wait,[],10000,1000,-1,ns,381658,442005,472264,510587,543969,628868,441304.669200,results/os/fork_exec_wait/20260201_082912_run,results/os/fork_exec_wait/20260201_082912_run/summary.csv,results/os/fork_exec_wait/20260201_082912_run/meta.json,results/os/fork_exec_wait/20260201_082912_run/stdout.txt,results/os/fork_exec_wait/20260201_082912_run/raw.csv,results/os/fork_exec_wait/20260201_082912_run/raw.llr.xz,us,build/bench,[],2026-02-01T08:29:12
os,fork_exec_wait,[],10000,1000,0,ns,349790,372505,501633,612002,2413259,5839471,390191.337300,results/os/fork_exec_wait/20260201_082917_run,results/os/fork_exec_wait/20260201_082917_run/summary.csv,results/os/fork_exec_wait/20260201_082917_run/meta.json,results/os/fork_exec_wait/20260201_082917_run/stdout.txt,results/os/fork_exec_wait/20260201_082917_run/raw.csv,results/os/fork_exec_wait/20260201_082917_run/raw.llr.xz,us,build/bench,[],2026-02-01T08:29:17
os,fork_wait,[],10000,1000,-1,ns,96154,103599,141230,183720,295335,2825685,112154.699400,results/os/fork_wait/20260201_082921_run,results/os/fork_wait/20260201_082921_run/summary.csv,results/os/fork_wait/20260201_082921_run/meta.json,results/os/fork_wait/20260201_082921_run/stdout.txt,results/os/fork_wait/20260201_082921_run/raw.csv,results/os/fork_wait/20260201_082921_run/raw.llr.xz,ns,build/bench,[],2026-02-01T08:29:21
os,fork_wait,[],10000,1000,0,ns,89891,95888,120356,269089,438732,547598,101339.553700,results/os/fork_wait/20260201_082923_run,results/os/fork_wait/20260201_082923_run/summary.csv,results/os/fork_wait/20260201_082923_run/meta.json,results/os/fork_wait/20260201_082923_run/stdout.txt,results/os/fork_wait/20260201_082923_run/raw.csv,results/os/fork_wait/20260201_082923_run/raw.llr.xz,ns,build/bench,[],2026-02-01T08:29:23
os,noop,[],10000,1000,-1,ns,14,16,17,17,18,105,15.910900,results/os/noop/20260201_082924_run,results/os/noop/20260201_082924_run/summary.csv,results/os/noop/20260201_082924_run/meta.json,results/os/noop/20260201_082924_run/stdout.txt,results/os/noop/20260201_082924_run/raw.csv,results/os/noop/20260201_082924_run/raw.llr.xz,ns,build/bench,[],2026-02-01T08:29:24
os,noop,[],10000,1000,0,ns,14,15,16,17,17,91,15.504500,results/os/noop/20260201_082924_run_1,results/os/noop/20260201_082924_run_1/summary.csv,results/os/noop/20260201_082924_run_1/meta.json,results/os/noop/20260201_082924_run_1/stdout.txt,results/os/noop/20260201_082924_run_1/raw.csv,results/os/noop/20260201_082924_run_1/raw.llr.xz,ns,build/bench,[],2026-02-01T08:29:24
